id;nom;registre_com;localisation;date_creation
1;brand purple Arizona;Personal Loan Account;Movies Islands Multi-layered;2020-03-10
2;navigate seamless;Yemeni Rial;Bacon;2020-03-09
3;withdrawal Awesome Soft Chips;Mountains TCP;panel Belgium;2020-03-10
4;Sports;Industrial national;Auto Loan Account Maine COM;2020-03-09
5;overriding Central Steel;Future partnerships;withdrawal navigate capacitor;2020-03-10
6;digital Clothing;synthesizing;Argentine Peso transmitting;2020-03-10
7;Supervisor Jewelery transmitter;Rubber;Ports Cambridgeshire;2020-03-10
8;Rubber Gibraltar;Lempira;Central hacking holistic;2020-03-09
9;Generic Rubber Shoes Fiji Dollar;fuchsia;viral;2020-03-10
10;Investor;system;toolset Bacon intangible;2020-03-09
